| objective_b9b59_00310 | TERMINATED | 10.203.25.110:558722 |   2 |   6 |   2 |      1 |          15.7331 |  94968.1  |
| objective_b9b59_00311 | TERMINATED | 10.203.25.110:558704 |   3 |   6 |   2 |      1 |          15.7429 | 241552    |
| objective_b9b59_00312 | TERMINATED | 10.203.25.110:558710 |   4 |   6 |   2 |      1 |          15.6528 | 112126    |
| objective_b9b59_00313 | TERMINATED | 10.203.25.110:558702 |   5 |   6 |   2 |      1 |          15.2408 |  85145.5  |
| objective_b9b59_00314 | TERMINATED | 10.203.25.110:558729 |   6 |   6 |   2 |      1 |          15.3876 |  66773.5  |
| objective_b9b59_00315 | TERMINATED | 10.203.25.110:558720 |   7 |   6 |   2 |      1 |          15.3967 |  52564.2  |
| objective_b9b59_00316 | TERMINATED | 10.203.25.110:558714 |   8 |   6 |   2 |      1 |          15.1341 |  51721.3  |
| objective_b9b59_00317 | TERMINATED | 10.203.25.110:558712 |   9 |   6 |   2 |      1 |          15.7719 |  44956.4  |
| objective_b9b59_00318 | TERMINATED | 10.203.25.110:558724 |  10 |   6 |   2 |      1 |          15.139  |  36587.8  |
| objective_b9b59_00319 | TERMINATED | 10.203.25.110:558708 |   0 |   7 |   2 |      1 |          15.5995 | 324650    |
| objective_b9b59_00320 | TERMINATED | 10.203.25.110:558565 |   1 |   7 |   2 |      1 |          15.2418 | 364442    |
| objective_b9b59_00321 | TERMINATED | 10.203.25.110:558728 |   2 |   7 |   2 |      1 |          15.656  | 152854    |
| objective_b9b59_00322 | TERMINATED | 10.203.25.110:558706 |   3 |   7 |   2 |      1 |          14.8255 | 277257    |
| objective_b9b59_00323 | TERMINATED | 10.203.25.110:558716 |   4 |   7 |   2 |      1 |          15.203  | 139932    |
| objective_b9b59_00324 | TERMINATED | 10.203.25.110:558725 |   5 |   7 |   2 |      1 |          14.6891 | 124736    |
| objective_b9b59_00325 | TERMINATED | 10.203.25.110:558722 |   6 |   7 |   2 |      1 |          15.1026 | 103204    |
| objective_b9b59_00326 | TERMINATED | 10.203.25.110:558718 |   7 |   7 |   2 |      1 |          15.1453 |  68688.8  |
| objective_b9b59_00327 | TERMINATED | 10.203.25.110:558704 |   8 |   7 |   2 |      1 |          14.8466 |  75421.3  |
| objective_b9b59_00328 | TERMINATED | 10.203.25.110:558702 |   9 |   7 |   2 |      1 |          15.7868 |  53312.1  |
| objective_b9b59_00329 | TERMINATED | 10.203.25.110:558710 |  10 |   7 |   2 |      1 |          15.6361 |  47143.1  |
| objective_b9b59_00330 | TERMINATED | 10.203.25.110:558729 |   0 |   8 |   2 |      1 |          14.5836 | 331032    |
| objective_b9b59_00331 | TERMINATED | 10.203.25.110:558720 |   1 |   8 |   2 |      1 |          14.7903 | 368472    |
| objective_b9b59_00332 | TERMINATED | 10.203.25.110:558714 |   2 |   8 |   2 |      1 |          14.4914 | 255054    |
| objective_b9b59_00333 | TERMINATED | 10.203.25.110:558712 |   3 |   8 |   2 |      1 |          14.9981 | 335369    |
| objective_b9b59_00334 | TERMINATED | 10.203.25.110:558724 |   4 |   8 |   2 |      1 |          15.6658 | 252959    |
| objective_b9b59_00335 | TERMINATED | 10.203.25.110:558708 |   5 |   8 |   2 |      1 |          15.0202 | 143772    |
| objective_b9b59_00336 | TERMINATED | 10.203.25.110:558565 |   6 |   8 |   2 |      1 |          15.4074 | 176098    |
| objective_b9b59_00337 | TERMINATED | 10.203.25.110:558706 |   7 |   8 |   2 |      1 |          15.1877 |  87718.8  |
| objective_b9b59_00338 | TERMINATED | 10.203.25.110:558725 |   8 |   8 |   2 |      1 |          15.5795 |  89604.8  |
| objective_b9b59_00339 | TERMINATED | 10.203.25.110:558716 |   9 |   8 |   2 |      1 |          15.6172 |  74931.5  |
| objective_b9b59_00340 | TERMINATED | 10.203.25.110:558728 |  10 |   8 |   2 |      1 |          15.5808 |  57726.7  |
| objective_b9b59_00341 | TERMINATED | 10.203.25.110:558722 |   0 |   9 |   2 |      1 |          15.3893 | 335405    |
| objective_b9b59_00342 | TERMINATED | 10.203.25.110:558704 |   1 |   9 |   2 |      1 |          15.5345 | 375288    |
| objective_b9b59_00343 | TERMINATED | 10.203.25.110:558718 |   2 |   9 |   2 |      1 |          15.7798 | 383989    |
| objective_b9b59_00344 | TERMINATED | 10.203.25.110:558729 |   3 |   9 |   2 |      1 |          15.3527 | 345682    |
| objective_b9b59_00345 | TERMINATED | 10.203.25.110:558710 |   4 |   9 |   2 |      1 |          16.6265 | 294573    |
| objective_b9b59_00346 | TERMINATED | 10.203.25.110:558714 |   5 |   9 |   2 |      1 |          15.6225 | 261925    |
| objective_b9b59_00347 | TERMINATED | 10.203.25.110:558702 |   6 |   9 |   2 |      1 |          15.3323 | 195799    |
| objective_b9b59_00348 | TERMINATED | 10.203.25.110:558720 |   7 |   9 |   2 |      1 |          15.4523 | 151638    |
| objective_b9b59_00349 | TERMINATED | 10.203.25.110:558712 |   8 |   9 |   2 |      1 |          15.8736 | 131250    |
| objective_b9b59_00350 | TERMINATED | 10.203.25.110:558724 |   9 |   9 |   2 |      1 |          15.5511 |  77880.9  |
| objective_b9b59_00351 | TERMINATED | 10.203.25.110:558708 |  10 |   9 |   2 |      1 |          15.0568 |  83058.4  |
| objective_b9b59_00352 | TERMINATED | 10.203.25.110:558565 |   0 |  10 |   2 |      1 |          14.9857 | 338496    |
| objective_b9b59_00353 | TERMINATED | 10.203.25.110:558706 |   1 |  10 |   2 |      1 |          15.053  | 381447    |
| objective_b9b59_00354 | TERMINATED | 10.203.25.110:558725 |   2 |  10 |   2 |      1 |          15.4134 | 455788    |
| objective_b9b59_00355 | TERMINATED | 10.203.25.110:558716 |   3 |  10 |   2 |      1 |          15.0957 | 343134    |
| objective_b9b59_00356 | TERMINATED | 10.203.25.110:558728 |   4 |  10 |   2 |      1 |          15.4816 | 359381    |
